image_name,entropy,energy,homogenity,contrast,correlation,class
10003_left.jpeg,11.4338,0.0005,0.2263,102.8504,0.9515,noRD
10003_right.jpeg,11.3537,0.0005,0.2364,138.493,0.94,noRD
10007_left.jpeg,10.5963,0.001,0.2672,102.9289,0.9154,noRD
10007_right.jpeg,10.431,0.001,0.2482,118.4852,0.8527,noRD
10009_left.jpeg,10.9861,0.0007,0.2207,109.7463,0.9241,noRD
10009_right.jpeg,11.1499,0.0007,0.2323,105.9879,0.9256,noRD
1000_left.jpeg,9.9495,0.0014,0.2703,106.6958,0.8702,noRD
1000_right.jpeg,10.2704,0.0012,0.3046,244.958,0.8312,noRD
10010_left.jpeg,10.265,0.0012,0.2349,235.8777,0.7593,noRD
10010_right.jpeg,10.5736,0.0011,0.2363,181.8257,0.8626,noRD
10013_left.jpeg,8.977,0.0025,0.3023,154.4888,0.6597,noRD
10013_right.jpeg,8.9567,0.0026,0.2972,169.9675,0.6398,noRD
10015_left.jpeg,10.017,0.0015,0.2435,197.3689,0.761,noRD
10015_right.jpeg,9.4248,0.002,0.2685,240.3148,0.5478,noRD
10022_left.jpeg,10.008,0.0014,0.26,337.1591,0.7422,noRD
10022_right.jpeg,10.4108,0.0012,0.2313,313.564,0.7754,noRD
10028_left.jpeg,9.9646,0.0014,0.2108,77.3771,0.8959,noRD
10028_right.jpeg,10.4938,0.0009,0.2801,87.3577,0.9287,noRD
10029_left.jpeg,10.2033,0.0012,0.2416,294.3179,0.6879,noRD
10029_right.jpeg,10.5761,0.001,0.2516,243.1722,0.8187,noRD
10031_left.jpeg,10.1154,0.0013,0.2471,79.1032,0.9067,noRD
10031_right.jpeg,9.1973,0.0022,0.259,115.5342,0.7032,noRD
10032_left.jpeg,9.6072,0.0017,0.3367,266.9129,0.7372,noRD
10032_right.jpeg,9.9499,0.0016,0.3006,273.1706,0.8113,noRD
10035_left.jpeg,8.9464,0.0027,0.3263,64.3175,0.8451,noRD
10035_right.jpeg,9.401,0.0019,0.3535,91.302,0.895,noRD
10048_left.jpeg,10.96,0.0009,0.2355,48.0247,0.9769,noRD
10048_right.jpeg,10.852,0.0009,0.2299,90.9842,0.9477,noRD
10050_left.jpeg,10.23,0.0013,0.2761,239.6112,0.8797,noRD
10050_right.jpeg,10.8895,0.001,0.2586,233.7373,0.9285,noRD
10059_left.jpeg,9.9387,0.0015,0.2974,123.6097,0.8926,noRD
10059_right.jpeg,9.857,0.0017,0.2432,125.081,0.8436,noRD
10065_left.jpeg,10.4026,0.001,0.2591,297.839,0.7588,noRD
10065_right.jpeg,10.5981,0.001,0.2444,239.4488,0.8102,noRD
10069_left.jpeg,10.3155,0.0013,0.2814,35.6187,0.9747,noRD
10069_right.jpeg,10.4716,0.0011,0.276,63.7729,0.948,noRD
10073_left.jpeg,10.5012,0.0011,0.216,45.5991,0.9481,noRD
10073_right.jpeg,10.1769,0.0013,0.2445,60.3129,0.9196,noRD
10078_left.jpeg,10.0331,0.0013,0.2873,145.8823,0.8752,noRD
10078_right.jpeg,10.2542,0.0013,0.2605,87.1157,0.9178,noRD
10081_left.jpeg,9.6283,0.0016,0.285,113.767,0.8556,noRD
10081_right.jpeg,9.7728,0.0016,0.2956,145.9792,0.8303,noRD
10092_left.jpeg,10.1923,0.0013,0.2712,113.7968,0.9203,noRD
10092_right.jpeg,9.7504,0.0015,0.2512,129.3599,0.8117,noRD
10094_left.jpeg,10.2845,0.0012,0.2157,108.858,0.8537,noRD
10094_right.jpeg,10.8371,0.0008,0.2913,143.3639,0.9461,noRD
10095_left.jpeg,10.5985,0.0009,0.198,140.8908,0.8394,noRD
10095_right.jpeg,10.4713,0.001,0.195,160.5894,0.8223,noRD
100_left.jpeg,9.8842,0.0015,0.2271,297.4195,0.6933,noRD
100_right.jpeg,10.2391,0.0014,0.2216,332.3884,0.7194,noRD
10100_left.jpeg,11.6529,0.0005,0.2057,83.2607,0.9684,noRD
10100_right.jpeg,11.1974,0.0007,0.2257,98.2898,0.9533,noRD
10112_right.jpeg,10.1137,0.0015,0.2326,57.7623,0.9116,noRD
10116_left.jpeg,9.6249,0.0018,0.2747,44.4607,0.8874,noRD
10116_right.jpeg,9.3949,0.0021,0.2949,55.8169,0.8576,noRD
1011_left.jpeg,9.5616,0.0018,0.322,90.9555,0.8725,noRD
1011_right.jpeg,10.024,0.0015,0.2732,107.3468,0.884,noRD
10126_left.jpeg,10.1957,0.0012,0.2831,262.1778,0.7876,noRD
10126_right.jpeg,10.2162,0.0014,0.2436,329.4841,0.7266,noRD
10129_left.jpeg,9.8641,0.0015,0.3115,213.8372,0.8367,noRD
10129_right.jpeg,10.2939,0.0013,0.2933,169.1247,0.9067,noRD
1012_left.jpeg,10.8278,0.0009,0.243,72.8517,0.9525,noRD
1012_right.jpeg,10.8024,0.0009,0.2572,101.2764,0.9342,noRD
10130_left.jpeg,10.3147,0.0013,0.2632,103.1461,0.9188,noRD
10130_right.jpeg,9.9271,0.0015,0.3302,124.7967,0.9108,noRD
10134_left.jpeg,9.5248,0.0019,0.2895,502.0321,0.5607,noRD
10134_right.jpeg,10.5851,0.001,0.231,220.1707,0.8068,noRD
10137_left.jpeg,10.891,0.0008,0.2219,66.2946,0.9546,noRD
10137_right.jpeg,10.96,0.0007,0.2382,113.5936,0.9238,noRD
10141_left.jpeg,10.2709,0.0012,0.2868,102.502,0.9414,noRD
10141_right.jpeg,10.3908,0.0011,0.2591,132.9221,0.8899,noRD
10144_left.jpeg,9.9459,0.0014,0.2985,26.0496,0.9739,noRD
10144_right.jpeg,10.2793,0.0012,0.2343,43.4524,0.9481,noRD
10149_left.jpeg,10.9855,0.0008,0.2506,70.3207,0.9585,noRD
10149_right.jpeg,10.802,0.0009,0.2343,101.4237,0.9299,noRD
10155_left.jpeg,10.164,0.0013,0.2238,49.3445,0.942,noRD
10155_right.jpeg,10.5008,0.0011,0.2443,62.0634,0.9512,noRD
10162_left.jpeg,10.6722,0.0009,0.2562,161.748,0.8924,noRD
10162_right.jpeg,10.194,0.0012,0.2404,226.2475,0.724,noRD
10163_left.jpeg,10.2053,0.0013,0.2258,41.0498,0.9643,noRD
10163_right.jpeg,10.2163,0.0012,0.2698,51.7205,0.9532,noRD
10166_left.jpeg,10.0616,0.0016,0.2803,422.001,0.6484,noRD
10166_right.jpeg,9.9456,0.0015,0.248,354.8867,0.5825,noRD
10169_left.jpeg,10.1694,0.0013,0.2475,102.8693,0.8965,noRD
10170_left.jpeg,9.9034,0.0014,0.3062,84.2897,0.9134,noRD
