id;nama_gambar;entropi;energi;homogenitas;kontras;korelasi;rd_level
1;20051019_38557_0100_PP.tif;1,844;0,30703;0,70456;19211,599;0,39058;severe
2;20051020_43808_0100_PP.tif;1,956;0,26512;0,50622;32108,426;-0,01829;noRD
3;20051020_43832_0100_PP.tif;1,886;0,29124;0,67916;20863,096;0,34635;moderate
4;20051020_43882_0100_PP.tif;1,999;0,25019;0,4967;32727,39;-0,00696;mild
5;20051020_43906_0100_PP.tif;1,984;0,25557;0,50135;32425,169;-0,00854;severe
6;20051020_44261_0100_PP.tif;1,961;0,26329;0,61528;25016,583;0,23055;noRD
7;20051020_44284_0100_PP.tif;1,978;0,25785;0,52227;31064,768;0,03026;noRD
8;20051020_44338_0100_PP.tif;1,882;0,29498;0,58676;26871,593;0,10658;noRD
9;20051020_44349_0100_PP.tif;2,000;0,25006;0,49517;32827,039;-0,00976;severe
10;20051020_44400_0100_PP.tif;1,982;0,25638;0,50917;31916,478;0,00581;noRD
11;20051020_44431_0100_PP.tif;1,847;0,30504;0,70852;18953,454;0,40325;noRD
12;20051020_44598_0100_PP.tif;1,973;0,2596;0,59194;26534,577;0,18198;severe
13;20051020_44636_0100_PP.tif;1,947;0,26981;0,55916;28666,334;0,08857;severe
14;20051020_44692_0100_PP.tif;1,975;0,25791;0,45945;35150,06;-0,09484;noRD
15;20051020_44714_0100_PP.tif;1,927;0,27512;0,65749;22272,048;0,31453;noRD
16;20051020_44762_0100_PP.tif;1,922;0,27705;0,6604;22082,652;0,319;noRD
17;20051020_44782_0100_PP.tif;1,932;0,27539;0,61977;24724,737;0,22235;moderate
18;20051020_44843_0100_PP.tif;1,956;0,26527;0,50654;32087,84;-0,01793;severe
19;20051020_44901_0100_PP.tif;1,998;0,25077;0,52539;30861,857;0,05054;mild
20;20051020_44923_0100_PP.tif;1,939;0,27175;0,53109;30491,64;0,02148;mild
21;20051020_44982_0100_PP.tif;1,994;0,25218;0,45516;35428,9;-0,09007;noRD
22;20051020_45004_0100_PP.tif;1,936;0,27263;0,64152;23310,248;0,27928;mild
23;20051020_45050_0100_PP.tif;1,957;0,26627;0,57592;27576,377;0,13361;severe
24;20051020_45068_0100_PP.tif;1,947;0,26818;0,63273;23881,783;0,26463;severe
25;20051020_45110_0100_PP.tif;1,950;0,26752;0,52069;31167,796;0,00742;severe
26;20051020_45137_0100_PP.tif;1,919;0,28127;0,61022;25345,998;0,18942;severe
